,名称,评估机构数,wind一致预期（180天）,wind一致预期（90天）,wind一致预期（30天）,前收盘价,总股本,流通股本,pct_change, mk_cap 
1498.HK,培力农本方,,0.649,,0.649,0.6,395897275,196610258,,237538365
1499.HK,欧科云链,,0.157,0.157,,0.229,5370510000,1465584999,-0.31441048,1229846790
1500.HK,现恒建筑,,,0.92,,0.078,830000000,230000000,10.79487179,64740000
0220.HK,统一企业中国,9,8.3725,8.3764,8.634,6.88,4319334000,1172503017,21.75%," 29,717,017,920 "
1502.HK,金融街物业,1,2.4,,,2.2,373500000,103500000,,821700000
1503.HK,招商局商业房托,,1.4,1.4,,1.21,1127819549,434335239,0.157024793,1364661654
6868.HK,天福,,4.393,4.393,4.393,3.61,1085857460,295582732,21.69%," 3,919,945,431 "
1658.HK,邮储银行,1,5.4112,5.3587,5.254,4.41,99161076038,11274461418,21.51%," 437,300,345,328 "
0941.HK,中国移动,3,85.5529,87.8222,88.055,72.3,21483302678,5677239147,21.47%," 1,553,242,783,619 "
1177.HK,中国生物制药,13,4.7859,3.945,,3.25,18791217230,10094834865,21.38%," 61,071,455,998 "
1518.HK,新世纪医疗,,0.322,,0.322,0.9,490025000,218461055,,441022500
0867.HK,康哲药业,8,10.3067,9.5,,7.83,2439528512,1281964512,21.33%," 19,101,508,249 "
1520.HK,天机控股,,0.131,0.131,0.131,0.55,625491455,1509510518,-0.761818182,344020300.3
1521.HK,方达控股,,1.89,,,1.24,2035724910,603699500,,2524298888
1522.HK,京投交通科技,,,2,,0.25,2097146727,569132478,7,524286681.8
1928.HK,金沙中国有限公司,4,23.8906,24.0714,26.4,19.84,8093379566,2345097582,21.33%," 160,572,650,589 "
1525.HK,建桥教育,1,,,,2.85,415000000,188520000,,1182750000
1526.HK,瑞慈医疗,,,2.52,,1.25,1590324000,631687200,1.016,1987905000
1527.HK,天洁环境,,,9.41,9.41,1.7,135000000,29495600,4.535294118,229500000
6088.HK,鸿腾精密,7,3.53,3.87,3.87,3.19,7289948572,1669730684,21.32%," 23,254,935,945 "
1529.HK,乐氏国际控股,,,,,0.239,133416000,917460000,,31886424
1910.HK,新秀丽,9,26.5881,25.4455,26.1333,21,1462217799,1181230562,21.17%," 30,706,573,779 "
1532.HK,中国派对文化,,,1.68,,0.108,1773263120,1182843120,14.55555556,191512417
